These 122 pairs of stimuli have been used in the study below. 

Wang, K., Wang, Y., Yan, C., Wang, Y. N., Cheung, E. F., & Chan, R. C. (2013). Semantic processing impairment in individuals with schizotypal personality disorder features: a preliminary event-related potential study. Progress in Neuropsychopharmacology and Biology Psychiatry, 40, 93-102. http://dx.doi.org/10.1016/j.pnpbp.2012.08.019

Any questions should be sent to Dr Kui Wang (wangk@psych.ac.cn)


Prime  Target
对	印
内	外
美	寸
军	民
修	补
瓜	果
高	攻
善	块
正	才
砖	瓦
狮	虎
田	地
贫	配
旱	缴
亲	愚
偷	抢
爱	宜
褒	货
安	核
乾	坤
浓	稠
贵	炒
黑	五
利	弊
早	独
异	当
分	合
开	已
涨	逻
夫	妻
大	其
功	过
加	编
丰	禹
君	臣
成	肯
门	窗
金	银
坐	及
买	卖
甜	创
古	今
杯	盘
收	年
洁	净
动	既
钟	表
兴	仲
赏	袭
难	稳
主	世
牙	舌
兄	弟
得	车
水	火
羊	马
粗	仍
轻	间
日	月
虚	意
东	西
读	写
干	恭
悲	食
恩	仇
真	承
皮	毛
是	非
紧	鲁
曲	命
盈	亏
棉	麻
吉	冬
聚	梦
祸	患
青	刑
生	交
图	画
起	落
来	柿
衣	帽
升	降
肥	嘉
香	臭
破	乱
老	孟
卸	装
左	户
姜	蒜
上	自
有	它
首	尾
输	幽
宾	朋
新	辆
阴	旨
父	母
公	私
冷	愿
官	兵
文	武
鞋	袜
短	从
血	肉
存	厂
孩	童
好	欧
锣	鼓
茎	叶
强	访
横	代
囚	禁
软	赵
碗	筷
多	四
春	秋
纸	笔
取	呆
村	庄
问	鲜
教	学
睡	醒


